Designator,Mid X,Mid Y,Rotation,Layer
U12,143.5,-100.5,37.0,top
U13,126.5,-109.6375,270.0,top
U2,129.590362,-102.800999,90.0,top
U3,129.597862,-119.200999,0.0,top
U4,136.060362,-102.950999,270.0,top
U5,118.060362,-73.930999,270.0,top
U6,114.5,-85.0,0.0,top
U7,144.785413,-64.450999,0.0,top
U8,134.5,-58.0,90.0,top
U9,155.755,-95.55,0.0,top
Y1,128.600362,-71.620999,0.0,top
Y2,136.560362,-71.950999,270.0,top
